user_input,output
"There is no car in front of us, there is a yellow light, and the train is coming, we want to go straight.","""Wait for the train to pass and traffic light to turn green, then go straight."""
"there is no car in front of us, there is a person clossing the road, we want to turn left and there is a car coming from the left","""Turn on left turn signal, wait for the person to cross the road, let the car from the left go first, and then turn left."""
"there is no road in front of us, we want to go straight","""We cannot go straight because there is no road in front of us."""
"there is no road in front of us, there is road at the left, we want to go left","""Turn left to the road on the left."""
"there is no car in front of us, there is a person standing on the side of the street facing the road, we want to go straight","""Slow down and stop, wait for the person to cross the road, then go straight."""
"there is car coming from the opposit side, we want to turn left, the taffic light is green","""Turn on the left turn signal, wait for the car from the opposite side to pass and then turn left."""
"we want to go straight, there is red light in front of us, we on the right turn lane, there is police car at our back with the siren on","""Give way for the police car, wait for green light then go straight."""
"""there is car in front of us, there is a bicycle in front of us, the taffice light is green and we want to go left""","""Turn on the left turn signal, keep the safe distance from the car and bicycle in front of us, turn left."""
there is a school ahead sign in front of us and we want to go straight,"""Slow down due to school in front and go stright."""
"there is car in front of us, there is right turn lane at the right side of us and we want to turn left.","""Turn on the left turn signal, keep the safe distance from the car in front, then turn left."""
"there are bicycles in the roundabout, we want to turn left","""yield to the bicycles in the roundabout and turn left slowly"""
"There is no car in front of us, there is a red light, and the train is coming, we want to go straight.","Wait until the train passes and the traffic light turns green, then go straight."
"there are bicycles in the roundabout, we want to go straight","""Give way for the bicycle in the roundabout, go in the roundabout then turn on left turn signal, signal left after passed the exit before the one you want to exit, then exit the roundabout."""
"There is slippery road sign, we want to go right.","""Turn on the left turn signal, slow down due to slippery road and turn right."""
"we are driving in 60 km/h, the car in front of us stop immediately, we want to go straight","""Slow down and stop, keep the safe distance from the car in front, wait for car in front to move, then go straight."""
"we want to go left, there is red light in front of us, we on the left turn lane ,there is police at our back with the siren on","""Turn on the left turn signal, give way for the police car and wait for it to pass, wait for green light then turn left."""
"there is a school ahead sign in front of us and we want to go straight, we currently driving in 50 km/h","""Slow down to the speed limit near the school and go straight."""
"there is car in front of us and, the is no turn left sign and we want to go right","""Turn on the right turn signal, wait for the car in front to move, then turn right."""
"There is no road in front of us, there is road at the right, we want to go left","""we cannot go left because there is no road at the left."""
"There is no road in front of us, there is road at the left and right, we want to go left","""Turn on the left turn signal, then turn left."""
"there is no car in front of us, we want to turn right and there is a car coming from the left.","""wait for the person to cross the road and proceed with caution due to the slippery road conditions"""
"there is car in front of us, there is a steep descent sign in front of us, we want to go straight, there is a person standing on the side of the street facing the road","""Slow down due to steep descentand road, stop and wait for the person to cross the road, keep the safe distance from the car in front and go straight."""
"There is no road in front of us, there is road at the left and right, we want to go right","""Turn on the right turn signal, then turn right."""
"there is no car in front of us, there is a person clossing the road, we want to turn right and there is a car coming from the left","""Turn on the right turn signal, wait for the person to cross the road, let the car from the left go first, then turn right."""
"there are car from opposite side, we want to straight","""Go straight."""
"the bus coming from the right, we want to go straight.","""Wait for bus to pass and then go straight."""
"we want to go left, there is bus at the our back","""Turn on the left turn signal, then turn left."""
"there is no car in front of us, there is bus at our right lane, the bus turn left light is on and we want to go straight","""Give way and wait for the bus to complete its left turn, then go straight"""
"There is no road in front of us, there is road at the left and right, we want to go straight.","""We cannot go straight because there is no road in front of us."""
"the bus coming from the right, we want to go right.","""Turn on the right turn signal, wait for the bus to pass, then turn right."""
"we want to go right, there is slippery road sign.","""Slow down due to  the slippery road, turn on the right turn signal and turn right."""
"there is a school ahead sign in front of us and we want to go straight, we currently driving on 60 km/h","""Slow down to the speed limit near the school and go straight."""
"there is car infront of us, there is people crossing the road, we want to go straight","""Stop and wait for people to cross the road,then go straight."""
"There is car in front of us, the no train is passing, we want to go straight.","""Maintain a safe distance from the car in front and go straight."""
"we want to go straight, there is car in front of us, the traffic light is green","""Keep a safe distance from the car in front and go straight."""
"there are bicycles in the roundabout, we want to turn right","""Give way for the bicycle in the roundabout, go in the roundabout then turn on left turn signal, signal left after passed the exit before the one you want to exit, then exit the roundabout."""
"there is car in front of us, there is a steep descent sign in front of us, we want to go right","""Slow down due to the steep descent road, trun on the right turn signal, keep the safe distance from car in front, then turn right."""
"there is car in front of us, there is a yellow light, and the train is coming, we want to go straight.","""Stop and wait for the train to pass, wait for green light and the car in front of us to move, then go straight."""
